data_sources,study_design,study_accrural_periods,sample_size,exposures,exposure_ascertainment,outcomes,outcome_ascertainment,all_results,conclusions,include,original_text
Records of 8 patients with metastatic penile cancer treated at a hospital from 2006 to 2013; literature review identified 17 additional cases reported since 2011.,Other,2006 to 2013,8,"Primary cancers included bladder, lung, gastric, liver, and prostate malignancies; no specific mention of radiotherapy exposure.",,"Incidence of metastatic penile cancer from various primary cancers, including prostate cancer; prognosis of metastatic penile cancer is poor.",Analysis of patient records and literature review.,"Five patients are deceased at the time of this report; the longest and shortest survival times (from the diagnosis of primary cancer to death) were 16 years and 9 months, respectively. Approximately half of the patients had died of their disease within 1 year of the diagnosis of penile metastasis.","The prognosis of metastatic penile cancer is poor. Most primary cancers are in the urologic or gastrointestinal systems. Surgery and adjunctive therapy may improve symptoms, but fail to prolong survival.",False,"Title: Metastatic tumors of the penis: a report of 8 cases and review of the literature.
Abstract: The purpose of this study was to report the clinical characteristics, treatments, and outcomes of secondary penile cancers and review the literature of this rare condition. The records of 8 patients with metastatic penile cancer treated at our hospital from 2006 to 2013 were analyzed. A search of medical databases was conducted.Patient symptoms included penile mass (n = 7, 5 had concomitant pain) and acute urine retention (n = 1). The primary cancers included bladder, lung, gastric, liver, and prostate malignancies and 1 case of pulmonary epithelioid hemangioendothelioma. The longest time from diagnosis of the primary cancer to metastatic penile cancer was 16 years and the shortest was 7 months. Six patients were treated with phallectomy, 1 with resection of the mass, and 1 with only a biopsy because of advanced metastatic disease. Five patients are deceased at the time of this report, and the longest and shortest survival times (from the diagnosis of primary cancer to the death) were 16 years and 9 months, respectively. The literature review identified 17 cases reported since 2011, bringing the total number of reported cases to 480. Genitourinary cancer, primarily bladder and prostate, account for approximately 70 of the primary cancer sites and gastrointestinal cancers account for approximately 21%. Approximately half of the patients had died of their disease within 1 year of the diagnosis of penile metastasis. The prognosis of metastatic penile cancer is poor. Most primary cancers are in the urologic or gastrointestinal systems. Surgery and adjunctive therapy may improve symptoms, but fail to prolong survival."
Electronic medical records of GIST patients with tumor samples sent for molecular testing.,Cohort,,260,Gastrointestinal stromal tumor (GIST),Identified via electronic medical records and molecular testing of tumor samples.,Incidence of additional primary malignancies in GIST patients.,Analysis of clinicopathologic characteristics and additional primary malignancies.,"Of 260 patients, 50 (19 %) had at least one additional primary malignancy. In 33 patients, separate primary neoplasms predated their GIST diagnosis, most commonly including: prostate (n = 9), breast (n = 8), and hematologic (n = 5). Renal (n = 4) and hematologic (n = 3) malignancies were the most frequent cancers identified after GIST diagnosis. The majority (8 of 12, 66 %) of malignancies diagnosed after GIST were found incidentally. Patients who developed other malignancies after GIST more often had KIT exon 11 mutations (100 vs. 66 %, P = 0.01). In comparison to patients with only GIST, patients with a second primary neoplasm of any chronology had GISTs with increased mitotic rate (>=5 per 50 high-power fields) (P = 0.0006). Literature review revealed colorectal cancer, gastric, prostate, renal, leukemia, and desmoid-type fibromatosis as the most common secondary neoplasms.","Nineteen percent of GIST patients develop other malignancies. This is the first report to describe a relationship between additional primary malignancy and both mutation and mitotic rate of GIST. Although the basis of these relationships remains to be investigated, caution in the clinical management of GIST patients with additional lesions is warranted.",False,"Title: Additional Primary Malignancies in Patients with Gastrointestinal Stromal Tumor (GIST): A Clinicopathologic Study of 260 Patients with Molecular Analysis and Review of the Literature.
Abstract: BACKGROUND: The incidence of other primary neoplasms in gastrointestinal stromal tumor (GIST) patients is relatively high. Our aim was to better characterize the clinicopathologic and molecular relationships in a cohort of GIST patients., METHODS: All GIST patients with tumor samples sent for molecular testing were identified via electronic medical records. Clinicopathologic characteristics of GIST and additional primary malignancies were analyzed., RESULTS: Of 260 patients, 50 (19 %) had at least one additional primary malignancy. In 33 patients, separate primary neoplasms predated their GIST diagnosis and most commonly included: prostate (n = 9), breast (n = 8), and hematologic (n = 5). Renal (n = 4) and hematologic (n = 3) malignancies were the most frequent cancers identified after GIST diagnosis. The majority (8 of 12, 66 %) of malignancies diagnosed after GIST were found incidentally. Patients who developed other malignancies after GIST more often had KIT exon 11 mutations (100 vs. 66 %, P = 0.01). In comparison to patients with only GIST, patients with a second primary neoplasm of any chronology had GISTs with increased mitotic rate (>=5 per 50 high-power fields) (P = 0.0006). Literature review revealed colorectal cancer, gastric, prostate, renal, leukemia, and desmoid-type fibromatosis as the most common secondary neoplasms., CONCLUSIONS: Nineteen percent of GIST patients develop other malignancies. This is the first report to describe a relationship between additional primary malignancy and both mutation and mitotic rate of GIST. Although the basis of these relationships remains to be investigated, caution in the clinical management of GIST patients with additional lesions is warranted."
"Records of 582 consecutive patients with prostate cancer diagnosed with metastasis between May 7, 1998 and August 27, 2011.",Cohort,"May 7, 1998 to August 27, 2011",582,Synchronous second primary malignancies at metastasis; prior local treatments (not specified),Retrospective analysis of patient records,Overall survival in patients with metastatic prostate cancer with and without synchronous second primary malignancies,Cox proportional hazards regression analysis,"A total of 164 patients (28.1%) had a synchronous second primary malignancy, with colorectal (9.1%), stomach (7.3%), and lung (7.1%) cancers being the most prevalent. Patients without a synchronous second primary malignancy had a significantly higher overall survival rate than those with lung or stomach cancer. However, men without a second malignancy had outcomes comparable to those in men with colorectal cancer. Clinical stage T4 or greater, ASA score 1 or greater, and lung or stomach cancer were independent predictors of overall mortality.",A substantial proportion of patients with metastatic prostate cancer present with a synchronous second primary malignancy. Definitive therapy targeting prostate cancer may confer a limited survival benefit in patients with synchronous lung or stomach cancer.,False,"Title: Prognostic impact of synchronous second primary malignancies on the overall survival of patients with metastatic prostate cancer.
Abstract: PURPOSE: We determined the prognostic impact of a synchronous second primary malignancy on overall survival in patients with metastatic prostate cancer. Identifying features that stratify the risk of overall survival is critical for judiciously applying definitive therapy., MATERIALS AND METHODS: We retrospectively analyzed the records of 582 consecutive patients with prostate cancer diagnosed with metastasis between May 7, 1998 and August 27, 2011. Patient age, body mass index, ECOG performance status, Charlson comorbidity index, prostate specific antigen, T and N stages, Gleason and ASA R scores, progression to castration resistant prostate cancer, prior local treatments and synchronous second primary malignancies at metastasis were assessed. A synchronous second primary malignancy was defined as a cytologically or histologically proven solid malignancy. Cox proportional hazards regression analysis was done to estimate overall survival by second primary type and evaluate predictive variables., RESULTS: A total of 164 patients (28.1%) had a synchronous second primary malignancy, of which colorectal (9.1%), stomach (7.3%) and lung (7.1%) cancers were the most prevalent types. During a median followup of 34.1 months patients without a synchronous second primary malignancy had a significantly higher overall survival rate than those with lung or stomach cancer. However, men without a second malignancy had outcomes comparable to those in men with colorectal cancer. Clinical stage T4 or greater, ASA score 1 or greater and lung or stomach cancer were independent predictors of overall mortality., CONCLUSIONS: A substantial proportion of patients with metastatic prostate cancer present with a synchronous second primary malignancy. Definitive therapy targeting prostate cancer may confer a limited survival benefit in patients with synchronous lung or stomach cancer. Copyright © 2015 American Urological Association Education and Research, Inc. Published by Elsevier Inc. All rights reserved."
UK primary care databases,,1980-2013,84,,,"incident cancers of the breast, colorectum, and prostate","diagnosis codes, further evidence such as chemotherapy","Among the 84 studies, 57 defined cancers using only diagnosis codes, while 27 required further evidence such as chemotherapy. Few studies described methods used to create cancer code lists (n = 5); or made lists available directly (n = 5). Twenty-eight code lists were received on request from study authors. All included malignant neoplasm diagnosis codes, but there was considerable variation in the specific codes included which was not explained by coding dictionary changes. Code lists also varied in terms of other types of codes included, such as in-situ, cancer morphology, history of cancer, and secondary/suspected/borderline cancer codes.","In UK primary care database studies, methods for identifying breast, colorectal, and prostate cancers were often unclear. Code lists were often unavailable, and where provided, we observed variation in the individual codes and types of codes included. Clearer reporting of methods and publication of code lists would improve transparency and reproducibility of studies.",False,"Title: The identification of incident cancers in UK primary care databases: a systematic review.
Abstract: PURPOSE: UK primary care databases are frequently used in observational studies with cancer outcomes. We aimed to systematically review methods used by such studies to identify and validate incident cancers of the breast, colorectum, and prostate., METHODS: Medline and Embase (1980-2013) were searched for UK primary care database studies with incident breast, colorectal, or prostate cancer outcomes. Data on the methods used for case ascertainment were extracted and summarised. Questionnaires were sent to corresponding authors to obtain details about case ascertainment., RESULTS: Eighty-four studies of breast (n = 51), colorectal (n = 54), and prostate cancer (n = 31) were identified; 30 examined >1 cancer type. Among the 84 studies, 57 defined cancers using only diagnosis codes, while 27 required further evidence such as chemotherapy. Few studies described methods used to create cancer code lists (n = 5); or made lists available directly (n = 5). Twenty-eight code lists were received on request from study authors. All included malignant neoplasm diagnosis codes, but there was considerable variation in the specific codes included which was not explained by coding dictionary changes. Code lists also varied in terms of other types of codes included, such as in-situ, cancer morphology, history of cancer, and secondary/suspected/borderline cancer codes., CONCLUSIONS: In UK primary care database studies, methods for identifying breast, colorectal, and prostate cancers were often unclear. Code lists were often unavailable, and where provided, we observed variation in the individual codes and types of codes included. Clearer reporting of methods and publication of code lists would improve transparency and reproducibility of studies. Copyright © 2014 John Wiley & Sons, Ltd."
"Swiss cancer Registries of Vaud and Neuchatel, covering a population of 885,000 inhabitants; data collected from 2005 to 2010.",Cross-sectional,2005-2010,24859,"Previous cancer diagnosis, specifically exposure to radiotherapy for prostate cancer is implied but not explicitly stated in the article.",Not specified in the article.,Incidence of second primary cancers; specifically mentions multiple primary cancers and synchronous cancers.,"Data derived from cancer registries, which track new malignancies.","24,859 patients registered with incident cancer; 3,127 (13%) had multiple primary cancers; 578 (2.3%) were synchronous. Most common sites of first neoplasms included breast, prostate, and colorectum. Most common sites of second neoplasms included breast, lung, and colorectum. The most common pairing was breast with breast (31% synchronous) and bladder/ureter with prostate (72% synchronous). Five-year crude survival of patients with synchronous cancers was 34%, not significantly lower than 39% for patients with single neoplasms.",About one in eight incident neoplasms are second neoplasms; the proportion of patients with multiple primary cancers is likely to increase in the future.,True,"Title: Second primary cancers in the Vaud and Neuchatel Cancer Registries.
Abstract: An increasing proportion of new cancers is registered in patients who have received a previous cancer diagnosis. As data are inconsistent across studies, we provided information for populations long covered by valid cancer registration. Data were derived from the Swiss cancer Registries of Vaud and Neuchatel (885,000 inhabitants). Patients diagnosed with a new malignancy (except skin basal and squamous cell carcinomas) during the period 2005-2010 were included. Over the period 2005-2010, 24,859 patients were registered with incident cancer. Of these, 3127 (13%) had multiple primary cancers and 578 (2.3%) were synchronous. Breast, prostate, colorectum, skin, melanomas, and squamous cell carcinomas of the head and neck (SHN) and bladder/ureter were the most common sites of first neoplasms, whereas breast, lung, colorectum, prostate, melanoma, and SHN were the most common sites of second neoplasms. The most common pairing was breast with breast (31% synchronous), followed by the bladder/ureter with the prostate (72% synchronous), prostate with the colorectum, SHN with SHN, and SHN with lung. Five-year crude survival of patients with synchronous cancers (34%) was not significantly lower than that of patients with single neoplasms (39%). This population-based study indicates that about one in eight incident neoplasms in these mature registries are second neoplasms and almost 1/40 patients are diagnosed with synchronous primary cancers. These are related to shared genetic and environmental factors as well as diagnostic and therapeutic procedures. As cancer diagnosis and survival is likely to improve, the proportion of patients with multiple primary cancers will further increase in the future."
278 patients with initial diagnosed metastatic prostate cancer treated between 2008 and 2011; pathological diagnosis from ultrasonic-guided transperineal needle biopsy.,Cohort,2008 to 2011,278,Presence of intraductal carcinoma of prostate (IDC-P) diagnosed by needle biopsy.,Pathological diagnosis from ultrasonic-guided transperineal needle biopsy.,CRPC-free survival (CFS) time and overall survival (OS) time.,CFS and OS times were measured and compared between cases with and without IDC-P.,"IDC-P was found in 57/278 (20.5%) cases. Cases with IDC-P had shorter CFS time (46.05 +/- 1.39 vs. 22.98 +/- 1.80 months, P = 0.000) and OS time (50.38 +/- 1.18 vs. 36.43 +/- 2.10 months, P = 0.000). Multivariate analysis showed IDC-P was an independent prognostic factor for poor CFS (HR = 4.886, P = 0.011) and OS (HR = 1.945, P = 0.020). Among patients with higher Gleason score (>=8), IDC-P was still significantly associated with CFS and OS (median CFS time: 40 vs. 22 months; P = 0.000; median OS time: 54 vs. 36 months, P = 0.000). Cox's regression confirmed IDC-P as an independent prognostic factor for shorter CRPC (HR = 4.031, P = 0.035) and poorer OS (HR = 2.499, P = 0.006).","The presence of IDC-P in initial diagnosed metastatic prostate cancer is significantly and independently associated with earlier occurrence of CRPC and poorer OS. It should be routinely recorded in pathological reports, and additional therapeutic regimens may be needed.",False,"Title: Is there any prognostic impact of intraductal carcinoma of prostate in initial diagnosed aggressively metastatic prostate cancer?.
Abstract: BACKGROUND: Intraductal carcinoma of prostate (IDC-P) was usually found to be co-exist with conventional aggressive prostate adenocarcinoma. The presence of IDC-P was considered as an adverse pathological factor, which was associated with high Gleason score, large prostate volume and accelerated disease progression. However, no any information is available on the presence of IDC-P diagnosed by needle biopsy in patients with metastatic prostate cancer. We investigated the incidence and prognostic value of intraductal carcinoma of prostate (IDC-P) in initial diagnosed metastatic prostate cancer., METHODS: We included 278 patients with initial diagnosed metastatic prostate cancer treated between 2008 and 2011, all the pathological diagnosis were from ultrasonic-guided transperineal needle biopsy. IDC-P was strictly defined according to Epstein's criteria. Analyzed factors included age, Eastern Cooperative Oncology Group (ECOG) score, clinical T staging, Gleason scores, baseline prostate specific antigen (PSA), alkaline phosphatase (ALP), hemoglobin (HGB), PSA normalization, and the presence of IDC-P., RESULTS: Totally, IDC-P was found in 57/278 (20.5%) cases. Univariate analysis showed that, compared with cases without IDC-P, cases with IDC-P was definitely associated with much shorter CRPC-free survival (CFS) time (46.05 +/- 1.39 vs. 22.98 +/- 1.80 months, P = 0.000) and OS time (50.38 +/- 1.18 vs. 36.43 +/- 2.10 months, P = 0.000). Multivariate analysis showed that the presence of IDC-P was the only independent prognostic factor associated with poor CFS (HR = 4.886, P = 0.011) and OS (HR = 1.945, P = 0.020). Further sub-analysis showed, even among patients with higher Gleason score (>=8) (n = 158), IDC-P was still significantly and inversely associated with CFS and OS (the median CFS time: 40 versus 22 months; P = 0.000; the median OS time: 54 vs. 36 months, P = 0.000). Again, Cox's regression model confirmed that only the presence of IDC-P was still not only an independent prognostic factor predicting shorter time of CRPC (HR = 4.031, P = 0.035), but also for poorer OS (HR = 2.499, P = 0.006)., CONCLUSIONS: The presence of IDC-P in initial diagnosed metastatic prostate cancer, even among patients with more aggressive pattern, was firstly found to be significantly and independently associated with earlier occurrence of CRPC and poorer OS. We recommended the presence of IDC-P should be a routine record in pathological report of clinical diagnosis and other potential therapeutic regimen might be added to intervene in the integrated therapy as early as possible. Prostate 75:225-232, 2015. © 2014 Wiley Periodicals, Inc. Copyright © 2014 Wiley Periodicals, Inc."
150 patients suspicious of prostate cancer with prior negative transrectal prostate biopsy (TPB),Cross-sectional,,150,"mpMRI (TSE-T2-w, DWI and DCE sequences)",mpMRI performed on 1.5T (Magnetom Avanto; Siemens Healthcare Solutions),Diagnosis of prostate cancer in second TPB,Second TPB (at least 14 cylinders),"Mean age was 66.2+/- 5 years (51-77), mean PSA 11.3+/- 9.6ng/mL (0.9-75) and mean prostatic volume 82.2+/-42 (20-250) cc. DRE was suspicious in 11 (7.3%) patients. The mean number of cylinders per patient sampled in second TRB was 17.6+/-2.7(14-22). Second TRB was positive in 28 patients (18.7%). mpMRI was positive (score 3-5) in 102 (68%), test sensibility was 92.9% and the NPV was 95.8%. The risk of prostate cancer diagnosis in second TPB is modified by: PSA velocity > 0.75 (OR 1.04 [0.99-1.08]; P=0.06), free/total ratio PSA <15% (OR 0.37 [0.13-1.05]; P=0.06), each cc. of prostate volume (OR 0.98 [0.97-1]; P=0.017) and mpMRI 3-5 (OR 7.87 [1.78-34.7]; P=0.006). Multivariate analysis reveals that mpMRI (OR 7.41 [1.65-33.28]; P=0.009) and prostatic volume (OR 0.31 [0.12-0.78]; P=0.01) are independent risk predictors of prostate cancer.","According to ESUR guidelines and in patients with prior negative prostate biopsy, mpMRI is a valuable tool for the prediction of prostate cancer in second TPB. Lower prostate volume, the higher reliability.",False,"Title: Multiparametric magnetic resonance imaging predicts the presence of prostate cancer in patients with negative prostate biopsy.
Abstract: OBJECTIVE: To assess the ability of multiparametric prostate magnetic resonance imaging (mpMRI) to detect prostate cancer in patients with prior negative transrectal prostate biopsy (TPB)., MATERIAL AND METHODS: mpMRI (TSE-T2-w, DWI and DCE sequences) was performed on 1.5T (Magnetom Avanto; Siemens Healthcare Solutions) in 150 patients suspicious of prostate cancer and with negative TPB. European Society of Urogenital Radiology (ESUR) criteria were used (score 1: clinically significant disease is highly unlikely to be present; score 2: clinically significant cancer is unlikely to be present; score 3: clinically significant cancer is equivocal; score 4: clinically significant cancer is likely to be present; score 5: clinically significant cancer is highly likely to be present). PSA measurement (total and free), digital rectal examination (DRE), transrectal ultrasound (TRU) and a second TPB (at least 14 cylinders) were performed in all patients. Variables were submitted for independent blind analysis. The accuracy of each test was measured. Stepwise selection model for prediction of prostate cancer in second TPB was developed., RESULTS: Mean age was 66.2+/- 5 years (51-77), mean PSA 11.3+/- 9.6ng/mL (0.9-75) and mean prostatic volume 82.2+/-42 (20-250) cc. DRE was suspicious in 11 (7.3%) patients. The mean number of cylinders per patient sampled in second TRB was 17.6+/-2.7(14-22). Second TRB was positive in 28 patients (18.7%). mpMRI was positive (score 3-5) in 102 (68%), test sensibility was 92.9% and the NPV was 95.8%. The risk of prostate cancer diagnosis in second TPB is modified by: PSA velocity > 0.75 (OR 1.04 [0.99-1.08]; P=0.06), free/total ratio PSA <15% (OR 0.37 [0.13-1.05]; P=0.06), each cc. of prostate volume (OR 0.98 [0.97-1]; P=0.017) and mpMRI 3-5 (OR 7.87 [1.78-34.7]; P=0.006). Multivariate analysis reveals that mpMRI (OR 7.41 [1.65-33.28]; P=0.009) and prostatic volume (OR 0.31 [0.12-0.78]; P=0.01) are independent risk predictors of prostate cancer., CONCLUSIONS: According to ESUR guidelines and in patients with prior negative prostate biopsy, mpMRI is a valuable tool for the prediction of prostate cancer in second TPB. Lower prostate volume, the higher reliability. Copyright © 2014 AEU. Publicado por Elsevier Espana, S.L.U. All rights reserved."
122 consecutive men who underwent mp-MRI before radical prostatectomy at a single referral academic center,Other,,122,,,Detection of prostate cancer (CaP) tumors by mp-MRI,Confirmed by whole-mount histopathology,"The 122 patients had 283 unique histologically confirmed CaP tumor foci. Gleason score was 6 in 21 (17%), 7 in 88 (72%), and >=8 in 13 (11%) patients. Of the 122 cases, 44 (36%) had solitary and 78 (64%) had multifocal tumors. Overall mp-MRI sensitivity for tumor detection was 47% (132/283), with increased sensitivity for larger (102/141 [72%] >1.0 cm), higher-grade (96/134 [72%] Gleason >=7) tumors, and index tumors (98/122 [80%]). Index tumor status, size, and prostate weight were significant predictors of detection in a multivariate analysis, and multifocality did not adversely impact detection of index tumors.","Sensitivity for tumor detection increased with tumor size and grade. Index tumor status and tumor size were the strongest predictors of tumor detection, regardless of tumor focality. Some 80% of index tumors were detected, but nonindex tumor detection, even of high-grade lesions, was poor.",False,"Title: Multifocality and prostate cancer detection by multiparametric magnetic resonance imaging: correlation with whole-mount histopathology.
Abstract: BACKGROUND: Multiparametric magnetic resonance imaging (mp-MRI) is increasingly used in prostate cancer (CaP). Understanding the limitations of tumor detection, particularly in multifocal disease, is important in its clinical application., OBJECTIVE: To determine predictors of CaP detection by mp-MRI as confirmed by whole-mount histopathology., DESIGN, SETTING, AND PARTICIPANTS: A retrospective study was performed of 122 consecutive men who underwent mp-MRI before radical prostatectomy at a single referral academic center. A genitourinary radiologist and pathologist collectively determined concordance., OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: The odds of tumor detection were calculated for clinical, MRI, and histopathologic variables using a multivariate logistic regression model., RESULTS AND LIMITATIONS: The 122 patients had 283 unique histologically confirmed CaP tumor foci. Gleason score was 6 in 21 (17%), 7 in 88 (72%), and >=8 in 13 (11%) patients. Of the 122 cases, 44 (36%) had solitary and 78 (64%) had multifocal tumors. Overall mp-MRI sensitivity for tumor detection was 47% (132/283), with increased sensitivity for larger (102/141 [72%] >1.0 cm), higher-grade (96/134 [72%] Gleason >=7) tumors, and index tumors (98/122 [80%]). Index tumor status, size, and prostate weight were significant predictors of detection in a multivariate analysis, and multifocality did not adversely impact detection of index tumors. A prostatectomy population was necessary by design, which may limit the ability to generalize these results., CONCLUSIONS: Sensitivity for tumor detection increased with tumor size and grade. Index tumor status and tumor size were the strongest predictors of tumor detection, regardless of tumor focality. Some 80% of index tumors were detected, but nonindex tumor detection, even of high-grade lesions, was poor. These findings have important implications for focal therapy., PATIENT SUMMARY: We evaluated the ability of magnetic resonance imaging (MRI) to detect cancer in patients undergoing prostatectomy. We found that tumor size and grade were important predictors of tumor detection, and although cancer is often multifocal, MRI is often able to detect the worst focus of cancer. Copyright © 2014. Published by Elsevier B.V."
"Eastern Cape Province PBCR, South Africa; data reported for the period 1998-2012.",Other,1998-2012,0,Radiotherapy for prostate cancer exposure is not specifically mentioned in the article.,,Incidence of prostate cancer and other malignancies in rural Eastern Cape Province.,Cancer incidence rates were reported based on registered cases in the population-based cancer registry.,"Prostate cancer incidence increased more than doubled to 9.9/100,000; no specific data on second malignancies related to radiotherapy.",Cancer prevention and control activities in the area need to be informed by these data and strengthened.,False,"Title: Trends in cancer incidence in rural Eastern Cape Province; South Africa, 1998-2012.
Abstract: There are few cancer trend data reported in sub-Saharan Africa notably due to the scarcity of population-based cancer registries (PBCRs). The Eastern Cape Province PBCR is amongst the few registries in sub-Saharan Africa that reports data for a rural population. Trends in cancer incidence are reported for the period 1998-2012. Registered cases, age-standardized rates (ASRs) and standardized rate ratios are presented for the most common cancers in both males and females in three periods (1998-2002, 2003-2007 and 2008-2012). In males, the most commonly diagnosed cancer during the 15 year period was cancer of the oesophagus; incidence rates showed a significant decline over the 15 year period, entirely due to a 30% decrease between 2003-2007 and 2008-2012, to an ASR of 23.2 per 100,000 population. This was followed by prostate cancer, the incidence of which was more than doubled to a level of 9.9/100,000. In women, cancer of the cervix uteri has become the most common malignancy, with a significant increase in incidence during the period to 29.0/100,000. Oesophageal cancer is second in frequency, with (as in males) a significant decline in the final 10 years to an incidence of 14.5/100,000 in 2008-2012. The incidence of breast cancer increased by 61%, although the absolute rate remains low (12.2/100,000). The incidence rates of colorectal cancer are low, and the increases in incidence, although relatively large (35% in men, 63% in women) were not statistically significant. Kaposi sarcoma showed a dramatic increase in incidence in both sexes (3.5-fold in men, 11-fold in women) although the incidence remains relatively low by southern African standards. Cancer prevention and control activities in the area need to be informed by these data and strengthened. Copyright © 2014 UICC."
"Korea Central Cancer Registry (KCCR) database, 1993-2010",Cohort,1993-2010,178844,Thyroid cancer,Data from the Korea Central Cancer Registry,Subsequent second primary malignancies,Diagnosis of second primary malignancies from cancer registry data,"Among 178,844 patients with thyroid cancer, 2895 (1.6%) were diagnosed with subsequent second primary malignancies. The overall risks of a second primary cancer were elevated by 6% in patients who had thyroid cancer compared with the general population during the same period. The elevated risks for developing second cancers were observed in all sites except the stomach and cervix. The elevated risk of second primary cancers was observed within the first 10 years of follow-up. Leukemia and cancers of the salivary gland, kidney, prostate, lung, and breast had the most significantly elevated risks as secondary cancers and presented as early as during the first 5 years after the initial diagnosis of thyroid cancer.","The risks of several cancers were elevated significantly during follow-up, thus alerting physicians to pay special attention in their care of patients with thyroid cancer and long-term survivors.",False,"Title: Elevated risks of subsequent primary malignancies in patients with thyroid cancer: a nationwide, population-based study in Korea.
Abstract: BACKGROUND: Thyroid cancer affects relatively young adults, and its overall survival is excellent. With long life expectancy, the development of subsequent cancers is an important concern for survivors of thyroid cancer. The objective of this study was to investigate the incidence and types of second primary malignancies in Korean patients with thyroid cancer., METHODS: The study cohort included 178,844 registrants with thyroid cancer from the Korea Central Cancer Registry (KCCR) database between 1993 and 2010. Standardized incidence ratios (SIRs) were calculated using a statistical software program (SEER*Stat 8.0.4)., RESULTS: Among 178,844 patients with thyroid cancer, 2895 (1.6%) were diagnosed with subsequent second primary malignancies. The overall risks of a second primary cancer were elevated by 6% in patients who had thyroid cancer compared with the general population during the same period. The elevated risks for developing second cancers were observed in all sites except the stomach and cervix. The elevated risk of second primary cancers was observed within the first 10 years of follow-up. Leukemia and cancers of the salivary gland, kidney, prostate, lung, and breast had the most significantly elevated risks as secondary cancers and presented as early as during the first 5 years after the initial diagnosis of thyroid cancer., CONCLUSIONS: This is the largest, standardized, population-based study to date using nationwide data from the entire Korean population. The risks of several cancers were elevated significantly during follow-up, thus alerting physicians to pay special attention in their care of patients with thyroid cancer and long-term survivors. Copyright © 2014 American Cancer Society."
"SEER database, identified men diagnosed with clinically localized prostate cancer or thyroid cancer between 1995 and 2010.",Cohort,1995 to 2010,0,Diagnosis of prostate cancer (CaP) or thyroid cancer,Identified through the SEER database,Subsequent diagnosis of prostate cancer or thyroid cancer,Estimated multivariable-adjusted standardized incidence ratios (SIRs) using SEER*stat software,"Patients with thyroid cancer were much more likely to be diagnosed with CaP than patients in the SEER control group (SIR 1.28 [95% CI 1.1-1.5]; p < 0.05). The observed incidence of thyroid cancer was significantly higher in patients with CaP when compared with SEER controls (SIR 1.30 [95% CI 1.2-1.4]; p < 0.05). The observed thyroid cancer diagnosis rate among men with CaP was significantly higher than expected at 2-11 (SIR 1.83 [95% CI 1.4-2.4]), 12-59 (SIR 1.24 [95% CI 1.0-1.5]), and 60-119 (SIR 1.25 [95% CI 1.0-1.5]) months of follow-up. There was no increased risk of CaP or thyroid cancer diagnosis among patients with non-urologic malignancies.","There is a significant association of diagnoses with prostate and thyroid cancer in the US. In the absence of a known biological link between these tumors, these data suggest that diagnosis patterns for prostate and thyroid malignancies are linked.",False,"Title: Coupling of prostate and thyroid cancer diagnoses in the United States.
Abstract: BACKGROUND: Prostate and thyroid cancers represent two of the most overdiagnosed tumors in the US. Hypothesizing that patients diagnosed with one of these malignancies were more likely to be diagnosed with the other, we examined the coupling of diagnoses of prostate and thyroid cancer in a large US administrative dataset., METHODS: The surveillance, epidemiology, and end results (SEER) database was used to identify men diagnosed with clinically localized prostate cancer (CaP) or thyroid cancer between 1995 and 2010. SEER*stat software was used to estimate multivariable-adjusted standardized incidence ratios (SIRs) and investigate the rates of subsequent malignancy diagnosis. Additional non-urologic cancer sites were added as control groups., RESULTS: Patients with thyroid cancer were much more likely to be diagnosed with CaP than patients in the SEER control group (SIR 1.28 [95% CI 1.1-1.5]; p < 0.05). Similarly, the observed incidence of thyroid cancer was significantly higher in patients with CaP when compared with SEER controls (SIR 1.30 [95% CI 1.2-1.4]; p < 0.05). When stratified by follow-up interval, the observed thyroid cancer diagnosis rate among men with CaP was significantly higher than expected at 2-11 (SIR 1.83 [95% CI 1.4-2.4]), 12-59 (SIR 1.24 [95% CI 1.0-1.5]), and 60-119 (SIR 1.25 [95% CI 1.0-1.5]) months of follow-up. There was no increased risk of CaP or thyroid cancer diagnosis among patients with non-urologic malignancies., CONCLUSIONS: There is a significant association of diagnoses with prostate and thyroid cancer in the US. In the absence of a known biological link between these tumors, these data suggest that diagnosis patterns for prostate and thyroid malignancies are linked."
