Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Trends in cancer incidence in rural Eastern Cape Province; South Africa, 1998-2012.","Somdyala, Ntuthu I M; Parkin, D Maxwell; Sithole, Nomfuneko; Bradshaw, Debbie","There are few cancer trend data reported in sub-Saharan Africa notably due to the scarcity of population-based cancer registries (PBCRs). The Eastern Cape Province PBCR is amongst the few registries in sub-Saharan Africa that reports data for a rural population. Trends in cancer incidence are reported for the period 1998-2012. Registered cases, age-standardized rates (ASRs) and standardized rate ratios are presented for the most common cancers in both males and females in three periods (1998-2002, 2003-2007 and 2008-2012). In males, the most commonly diagnosed cancer during the 15 year period was cancer of the oesophagus; incidence rates showed a significant decline over the 15 year period, entirely due to a 30% decrease between 2003-2007 and 2008-2012, to an ASR of 23.2 per 100,000 population. This was followed by prostate cancer, the incidence of which was more than doubled to a level of 9.9/100,000. In women, cancer of the cervix uteri has become the most common malignancy, with a significant increase in incidence during the period to 29.0/100,000. Oesophageal cancer is second in frequency, with (as in males) a significant decline in the final 10 years to an incidence of 14.5/100,000 in 2008-2012. The incidence of breast cancer increased by 61%, although the absolute rate remains low (12.2/100,000). The incidence rates of colorectal cancer are low, and the increases in incidence, although relatively large (35% in men, 63% in women) were not statistically significant. Kaposi sarcoma showed a dramatic increase in incidence in both sexes (3.5-fold in men, 11-fold in women) although the incidence remains relatively low by southern African standards. Cancer prevention and control activities in the area need to be informed by these data and strengthened. Copyright © 2014 UICC.",2015,/,International journal of cancer,136,5,E470-4,,https://dx.doi.org/10.1002/ijc.29224,25236502,#2732,Somdyala 2015,,
"Elevated risks of subsequent primary malignancies in patients with thyroid cancer: a nationwide, population-based study in Korea.","Cho, Yoon Young; Lim, Jiwon; Oh, Chang-Mo; Ryu, Junsun; Jung, Kyu-Won; Chung, Jae Hoon; Won, Young-Joo; Kim, Sun Wook","BACKGROUND: Thyroid cancer affects relatively young adults, and its overall survival is excellent. With long life expectancy, the development of subsequent cancers is an important concern for survivors of thyroid cancer. The objective of this study was to investigate the incidence and types of second primary malignancies in Korean patients with thyroid cancer., METHODS: The study cohort included 178,844 registrants with thyroid cancer from the Korea Central Cancer Registry (KCCR) database between 1993 and 2010. Standardized incidence ratios (SIRs) were calculated using a statistical software program (SEER*Stat 8.0.4)., RESULTS: Among 178,844 patients with thyroid cancer, 2895 (1.6%) were diagnosed with subsequent second primary malignancies. The overall risks of a second primary cancer were elevated by 6% in patients who had thyroid cancer compared with the general population during the same period. The elevated risks for developing second cancers were observed in all sites except the stomach and cervix. The elevated risk of second primary cancers was observed within the first 10 years of follow-up. Leukemia and cancers of the salivary gland, kidney, prostate, lung, and breast had the most significantly elevated risks as secondary cancers and presented as early as during the first 5 years after the initial diagnosis of thyroid cancer., CONCLUSIONS: This is the largest, standardized, population-based study to date using nationwide data from the entire Korean population. The risks of several cancers were elevated significantly during follow-up, thus alerting physicians to pay special attention in their care of patients with thyroid cancer and long-term survivors. Copyright © 2014 American Cancer Society.",2015,/,Cancer,121,2,259-68,,https://dx.doi.org/10.1002/cncr.29025,25223713,#2733,Cho 2015,,
Coupling of prostate and thyroid cancer diagnoses in the United States.,"Tomaszewski, Jeffrey J; Uzzo, Robert G; Egleston, Brian; Corcoran, Anthony T; Mehrazin, Reza; Geynisman, Daniel M; Ridge, John A; Veloski, Colleen; Kocher, Neil; Smaldone, Marc C; Kutikov, Alexander","BACKGROUND: Prostate and thyroid cancers represent two of the most overdiagnosed tumors in the US. Hypothesizing that patients diagnosed with one of these malignancies were more likely to be diagnosed with the other, we examined the coupling of diagnoses of prostate and thyroid cancer in a large US administrative dataset., METHODS: The surveillance, epidemiology, and end results (SEER) database was used to identify men diagnosed with clinically localized prostate cancer (CaP) or thyroid cancer between 1995 and 2010. SEER*stat software was used to estimate multivariable-adjusted standardized incidence ratios (SIRs) and investigate the rates of subsequent malignancy diagnosis. Additional non-urologic cancer sites were added as control groups., RESULTS: Patients with thyroid cancer were much more likely to be diagnosed with CaP than patients in the SEER control group (SIR 1.28 [95% CI 1.1-1.5]; p < 0.05). Similarly, the observed incidence of thyroid cancer was significantly higher in patients with CaP when compared with SEER controls (SIR 1.30 [95% CI 1.2-1.4]; p < 0.05). When stratified by follow-up interval, the observed thyroid cancer diagnosis rate among men with CaP was significantly higher than expected at 2-11 (SIR 1.83 [95% CI 1.4-2.4]), 12-59 (SIR 1.24 [95% CI 1.0-1.5]), and 60-119 (SIR 1.25 [95% CI 1.0-1.5]) months of follow-up. There was no increased risk of CaP or thyroid cancer diagnosis among patients with non-urologic malignancies., CONCLUSIONS: There is a significant association of diagnoses with prostate and thyroid cancer in the US. In the absence of a known biological link between these tumors, these data suggest that diagnosis patterns for prostate and thyroid malignancies are linked.",2015,/,Annals of surgical oncology,22,3,1043-9,,https://dx.doi.org/10.1245/s10434-014-4066-y,25205302,#2734,Tomaszewski 2015,,
Incidence of secondary neoplasms in patients with acute promyelocytic leukemia treated with all-trans retinoic acid plus chemotherapy or with all-trans retinoic acid plus arsenic trioxide.,"Eghtedar, Alireza; Rodriguez, Ildefonso; Kantarjian, Hagop; O'Brien, Susan; Daver, Naval; Garcia-Manero, Guillermo; Ferrajoli, Alessandra; Kadia, Tapan; Pierce, Sherry; Cortes, Jorge; Ravandi, Farhad","The incidence and pattern of secondary neoplasms in patients with acute promyelocytic leukemia (APL) treated with all-trans retinoic acid (ATRA)-containing regimens is not well described. We compared 160 patients with APL treated with ATRA plus idarubicin (n = 54) or ATRA plus arsenic trioxide (ATO) (n = 106) for the incidence of secondary cancers per unit time of follow-up. Median follow-up times for the two cohorts were 136 and 29 months, respectively. Nine patients developed secondary cancers in the chemotherapy group. These included two breast cancers, three myelodysplastic syndromes/acute myeloid leukemia, one vulvar cancer, one prostate cancer, one colon cancer and one soft tissue sarcoma. A melanoma and one pancreatic cancer developed in the ATO group. We conclude that treatment of patients with APL using the non-chemotherapy regimen of ATRA plus ATO is not associated with a higher incidence of secondary cancers (p = 0.29) adjusted for unit time of exposure.",2015,/,Leukemia & lymphoma,56,5,1342-5,,https://dx.doi.org/10.3109/10428194.2014.953143,25120050,#2735,Eghtedar 2015,,
Receipt of best care according to current quality of care measures and outcomes in men with prostate cancer.,"Schroeck, Florian R; Kaufman, Samuel R; Jacobs, Bruce L; Hollenbeck, Brent K","PURPOSE: We evaluated whether patients with prostate cancer who received best care according to a set of 5 nationally endorsed quality measures had decreased treatment related morbidity and improved cancer control., MATERIALS AND METHODS: In this retrospective cohort study we included 38,055 men from the SEER (Surveillance, Epidemiology and End Results)-Medicare database treated for localized prostate cancer between 2004 and 2010. We determined whether each patient received best care, defined as care adherent to all applicable measures. We measured associations of best care with the need for interventions, addressing treatment related morbidity, and with the need for secondary cancer therapy using Cox proportional hazards models., RESULTS: Only 3,412 men (9.0%) received best care. Five years after treatment these men and men who did not receive best care had a similar likelihood of undergoing procedures for urinary morbidity (prostatectomy subset 10.7% vs 12.9%, p = 0.338) and secondary cancer therapy (prostatectomy for high risk prostate cancer subset 40.9% vs 37.3%, p = 0.522). However, they were more likely to be treated with a procedure for sexual morbidity (prostatectomy 17.3% vs 10.8%, p <0.001). Similar trends were observed in men treated with radiotherapy., CONCLUSIONS: Overall men who received best care did not fare better in regard to treatment related morbidity or cancer control. Collectively our findings suggest that the current process of care measures are not tightly linked to outcomes and further research is needed to identify better measures that are meaningful and important to patients. Copyright © 2015 American Urological Association Education and Research, Inc. Published by Elsevier Inc. All rights reserved.",2015,/,The Journal of urology,193,2,500-4,,https://dx.doi.org/10.1016/j.juro.2014.08.001,25108275,#2736,Schroeck 2015,,
Myelomastocytic leukemia with aberrant CD25 expression: case report and review of the literature.,"Rich, Amy; Sun, Jinlan; Aldayel, Abdulrahman S; Yin, C Cameron; Medeiros, L Jeffrey; Konoplev, Sergej",,2014,/,"Clinical lymphoma, myeloma & leukemia",14,5,e173-7,,https://dx.doi.org/10.1016/j.clml.2014.06.003,25022599,#2737,Rich 2014,,
Clinical features of patients with esophageal and second primary cancers.,"Tsai, Huang-Wen; Chang, Chih-Chun; Sun, Jen-Tang; Liou, Ching-Biau; Lin, Hsiu-Chen; Lin, I-Hsin; Yu, Yun-Chieh; Weng, Wei-Ling; Leong, Ka-I; Yen, Tzung-Hai; Wu, Jiann-Ming","BACKGROUND: The prevalence of esophageal cancer (EC) with second primary cancers (SPC) is increasing worldwide. This study was aimed to understand the clinical features of EC patients with SPC in the Taiwanese population., MATERIALS AND METHODS: Clinical and laboratory data for 180 EC patients with or without SPC were collected between January 2009 and December 2013. Information on treatment approaches, location of SPCs and ABO blood type were also collected and stratified., RESULTS: The most common SPC in EC patients was hypopharyngeal cancer, followed by laryngeal cancer and hepatocellular carcinoma in our study. Malignancies of colon, prostate and lung were also found. There was a significant higher portion of blood type A in the EC patients with SPC compared with those without (42.4% vs 19.5%, P=0.006)., CONCLUSIONS: The frequency and SPC site distribution and blood type A should be considered in clinical evaluation of EC patients with a high risk of developing SPC in the Taiwanese population.",2014,/,Asian Pacific journal of cancer prevention : APJCP,15,22,Apr-31,,,25520113,#2738,Tsai 2014,,
[In Process Citation].,Anonymous,,2014,/,Aktuelle Urologie,45,6,430-1,,https://dx.doi.org/10.1055/s-0034-1397277,25514770,#2739,Anonymous 2014,,
Cancer incidence and mortality in the Czech Republic.,"Dusek, L; Muzik, J; Maluskova, D; Majek, O; Pavlik, T; Koptikova, J; Melichar, B; Buchler, T; Finek, J; Cibula, D; Babjuk, M; Svoboda, M; Vyzula, R; Ryska, A; Ryska, M; Petera, J; Abrahamova, J","BACKGROUND: The Czech Republic ranks among the countries with the highest cancer burden in Europe as well as worldwide. The purpose of this study is to summarize longterm trends in the cancer burden and to provide up-to-date estimates of incidence and mortality rates after 2011., DATA AND METHODS: The Czech National Cancer Registry (CNCR) was instituted in 1977 and contains information collected over a 34-year period of standardized registration covering 100% of cancer diagnoses within the entire Czech population. The CNCR analysis is supported by demographic data and by the Death Records Database. An overview of the epidemiology of malignant tumors in the Czech population is available online at www.svod.cz., RESULTS: All neoplasms, including nonmelanoma skin cancer, reached a crude incidence rate of almost 802 cases per 100,000 men and 681 cases per 100,000 women in 2011. The annual mortality rate exceeded 258 deaths per 100,000 individuals; in other words, more than 27,000 individuals die of cancer each year. The overall incidence of malignancies has increased with a growth index of +27.6% during the last decade (2001- 2011), while the mortality rate has been stabilized over the time span (growth index in 2001- 2011: - 5.0%). Consequently, the prevalence has significantly increased in the observed period and exceeded 475,000 cases in 2011. In addition to demographic aging of the Czech population, the cancer burden has also increased due to the growing incidence of multiple primary tumors (recently more than 15% of the total incidence). The most frequent diagnoses include colorectal cancer, lung cancer, breast cancer, and prostate cancer. Although some neoplasms are increasingly diagnosed at an early stage (e. g. the proportion of stage I or II was 75.3% for female breast cancer and 84.2% for skin melanoma), the numbers of early diagnosed cases are generally insufficient, even in the case of highly prevalent cancers such as colorectal carcinoma (only 46.1% of incident cases are diagnosed at stage I or II, according to recent data)., CONCLUSION: Population-based data on malignant tumors are available in the Czech Republic. The data survey can help us define national cancer management priorities. The current priority is to achieve a sustained reduction of cases diagnosed at an advanced stage and reduction of the significant regional differences in diagnostic efficiency.",2014,/,Klinicka onkologie : casopis Ceske a Slovenske onkologicke spolecnosti,27,6,406-23,,,25493580,#2740,Dusek 2014,,
Breast and prostate cancer: an analysis of common epidemiological features in mortality trends in Spain.,"Lopez-Abente, Gonzalo; Mispireta, Sergio; Pollan, Marina","BACKGROUND: Breast cancer in women and prostate cancer are the first and second leading tumour respectively in terms of incidence world-wide. Our objective is to ascertain the similarities and differences between mortality trends in breast cancer among women and prostate cancer in Spain using age-period-cohort models, and analyse the correlation between incidence of breast and prostate cancer at cancer registries locally and world-wide., METHODS: We analysed the independent effects of age, period of death and birth cohort on mortality rates for breast cancer in women and prostate cancer in Spain across the period 1952-2011. Segmented regression analyses were performed to detect and estimate changes in period and cohort curvatures. Correlation among age-adjusted incidence rates at 246 population cancer registries world-wide was analysed for the period 2003-2007., RESULTS: The mortality trend displayed common characteristics in terms of the annual number of deaths due to these tumours, their adjusted mortality rates and the change points detected in the cohort and period effects. The trend in incidence was very different to that in mortality, due to early detection and progressive improvement in survival. Correlation between the incidence rates of both tumours recorded by registries around the world proved to be a generalised phenomenon., CONCLUSIONS: This study shows that breast cancer mortality in women and prostate cancer mortality and their trends in Spain display visible similarities in terms of the number of deaths due to these tumours, their adjusted mortality rates and the changes experienced by mortality over time. The effects of advances in the diagnosis of both tumours correspond to a decline in mortality which becomes evident after a lag of approximately eight years. Correlation between breast and prostate cancer incidence rates is very high in Spain and at registries on all continents.",2014,/,BMC cancer,14,100967800,874,,https://dx.doi.org/10.1186/1471-2407-14-874,25421124,#2741,Lopez-Abente 2014,,
The use of dietary supplements to alleviate androgen deprivation therapy side effects during prostate cancer treatment.,"Dueregger, Andrea; Heidegger, Isabel; Ofer, Philipp; Perktold, Bernhard; Ramoner, Reinhold; Klocker, Helmut; Eder, Iris E","Prostate cancer (PCa), the most commonly diagnosed cancer and second leading cause of male cancer death in Western societies, is typically androgen-dependent, a characteristic that underlies the rationale of androgen deprivation therapy (ADT). Approximately 90% of patients initially respond to ADT strategies, however many experience side effects including hot flashes, cardiotoxicity, metabolic and musculoskeletal alterations. This review summarizes pre-clinical and clinical studies investigating the ability of dietary supplements to alleviate adverse effects arising from ADT. In particular, we focus on herbal compounds, phytoestrogens, selenium (Se), fatty acids (FA), calcium, and Vitamins D and E. Indeed, there is some evidence that calcium and Vitamin D can prevent the development of osteoporosis during ADT. On the other hand, caution should be taken with the antioxidants Se and Vitamin E until the basis underlying their respective association with type 2 diabetes mellitus and PCa tumor development has been clarified. However, many other promising supplements have not yet been subjected large-scale clinical trials making it difficult to assess their efficacy. Given the demographic trend of increased PCa diagnoses and dependence on ADT as a major therapeutic strategy, further studies are required to objectively evaluate these supplements as adjuvant for PCa patients receiving ADT.",2014,/,Nutrients,6,10,4491-519,,https://dx.doi.org/10.3390/nu6104491,25338271,#2742,Dueregger 2014,,
A rare case of large cell neuroendocrine carcinoma.,"Lin, Diwei; Tan, Amanda Jia Hui; De Sousa, Agnelo Francis; Singh-Rai, Rajinder","We present a very rare case of de novo large cell neuroendocrine carcinoma (LCNEC) of the prostate in an 84-year-old man on a background of high grade, superficially invasive transitional cell carcinoma of the bladder. Pure LCNEC of the prostate is extremely rare. Most LCNEC of the prostate are thought to originate by clonal progression under the selection pressure of therapy and refractory to long-term hormonal treatment for adenocarcinoma of the prostate. De novo LCNEC is only described in case reports and is thought to develop via direct malignant transformation. Limited data in the English literature makes it difficult to accurately predict the prognosis of LCNEC of the prostate. However, current evidence suggesting that increasing neuroendocrine differentiation in prostate adenocarcinoma is associated with a higher stage, high-grade disease and a worse prognosis. Copyright 2014 BMJ Publishing Group Ltd.",2014,/,BMJ case reports,2014,101526291,,,https://dx.doi.org/10.1136/bcr-2014-206403,25331150,#2743,Lin 2014,,
Operator dependent choice of prostate cancer biopsy has limited impact on a gene signature analysis for the highly expressed genes IGFBP3 and F3 in prostate cancer epithelial cells.,"Peng, Zhuochun; Andersson, Karl; Lindholm, Johan; Bodin, Inger; Pramana, Setia; Pawitan, Yudi; Nister, Monica; Nilsson, Sten; Li, Chunde","BACKGROUND: Predicting the prognosis of prostate cancer disease through gene expression analysis is receiving increasing interest. In many cases, such analyses are based on formalin-fixed, paraffin embedded (FFPE) core needle biopsy material on which Gleason grading for diagnosis has been conducted. Since each patient typically has multiple biopsy samples, and since Gleason grading is an operator dependent procedure known to be difficult, the impact of the operator's choice of biopsy was evaluated., METHODS: Multiple biopsy samples from 43 patients were evaluated using a previously reported gene signature of IGFBP3, F3 and VGLL3 with potential prognostic value in estimating overall survival at diagnosis of prostate cancer. A four multiplex one-step qRT-PCR test kit, designed and optimized for measuring the signature in FFPE core needle biopsy samples was used. Concordance of gene expression levels between primary and secondary Gleason tumor patterns, as well as benign tissue specimens, was analyzed., RESULTS: The gene expression levels of IGFBP3 and F3 in prostate cancer epithelial cell-containing tissue representing the primary and secondary Gleason patterns were high and consistent, while the low expressed VGLL3 showed more variation in its expression levels., CONCLUSION: The assessment of IGFBP3 and F3 gene expression levels in prostate cancer tissue is independent of Gleason patterns, meaning that the impact of operator's choice of biopsy is low.",2014,/,PloS one,9,10,e109610,,https://dx.doi.org/10.1371/journal.pone.0109610,25296164,#2744,Peng 2014,,
Incidental prostate cancer prevalence at radical cystoprostatectomy--importance of the histopathological work-up.,"Wetterauer, C; Weibel, M; Gsponer, J R; Vlajnic, T; Zellweger, T; Butikofer, S; Muller, G; Puschel, H; Bachmann, A; Gasser, T C; Bubendorf, L; Rentsch, C A","The reported incidental prostate cancer prevalence rates at radical cystoprostatectomy cover a range from 4 to 60 %. We investigated the influence of the histopathological work-up on prostate cancer prevalence rates. We identified 114 patients who had undergone cystoprostatectomy for bladder cancer between 2000 and 2012. Complete histopathological assessment was defined as follows: (i) complete embedding of the prostate gland, (ii) sectioning of 15 or more prostate sections, and (iii) processing as whole mount slides. Prostate cancer prevalence rates derived from complete and incomplete histopathological assessments were compared. The overall prostate cancer prevalence rate was 59.6 %. A mean of 14.4 macroscopic tissue sections (thickness 3-5 mm) were sectioned. Sectioning >=15 sections resulted in a prostate cancer detection rate of 75 %, compared to 42.6 % when sectioning <15 sections (p < 0.001). Complete embedding yielded a prostate cancer detection rate of 72.3 and of 23.1 % for partly embedded prostates (p < 0.0001). Prostate cancer was detected in 68.8 % of the whole mounted samples and in 38.2 % of the samples sectioned as standard slides (p < 0.01); according to the criteria described by Epstein and Ohori, 44.1 % of the detected prostate cancers were clinically significant. The quality of the histopathological work-up significantly influences prostate cancer detection rates and might at least partially explain the highly variable reported incidental prostate cancer prevalence rates at cystoprostatectomy (CP). The high proportion of significant prostate cancer found in our series calls for a careful surgical approach to the prostate during CP.",2014,/,Virchows Archiv : an international journal of pathology,465,6,629-36,,https://dx.doi.org/10.1007/s00428-014-1656-9,25269630,#2745,Wetterauer 2014,,
Co-prevalence of other tumors in patients harboring pituitary tumors.,"Couldwell, William T; Cannon-Albright, Lisa A","OBJECT: The cause of most pituitary tumors remains unknown, although a genetic contribution is recognized for some. The prevalence of pituitary tumors in the general population is high. Analyzing the Utah Population Database (UPDB), the authors investigated the co-prevalence of other independent primary tumors in patients with known pituitary tumors, both benign and malignant, and in the relatives of these patients., METHODS: The authors identified individuals in the Utah Cancer Registry diagnosed with pituitary tumors who also had genealogy data in the UPDB and then calculated relative risks (RRs) of other tumors in these patients and their relatives., RESULTS: Among the 591 individuals with pituitary tumors, 16 (2.7%) had a malignant pituitary tumor and 77 (13%) had independent primary tumors of other origin. Overall, this is significantly higher than expected (70.6 expected, p = 0.009) within the general population (RR = 1.32, 95% CI 1.06-1.61). A significant excess for several different cancer sites was observed among the first-, second-, and third-degree relatives of the cases, including prostate and other cancers. Independent primary tumors at other sites have markedly elevated co-prevalence in patients harboring pituitary tumors and among their close and distant relatives., CONCLUSIONS: This information will prove useful for counseling patients in whom pituitary tumors have been diagnosed and suggests strong genetic or environmental co-risks for the development of other tumors.",2014,/,Journal of neurosurgery,121,6,1474-7,,https://dx.doi.org/10.3171/2014.8.JNS132139,25259568,#2746,Couldwell 2014,,
"Multiple primary malignant neoplasms of the glottis, renal pelvis, urinary bladder, oral floor, prostate, and esophagus in a Japanese male patient: a case report.","Mukaiyama, Yoshihiro; Suzuki, Motofumi; Morikawa, Teppei; Mori, Yoshiyuki; Takeshima, Yuta; Fujimura, Tetsuya; Fukuhara, Hiroshi; Nakagawa, Tohru; Nishimatsu, Hiroaki; Kume, Haruki; Homma, Yukio","Owing to recent advances in diagnostic and surgical techniques for cancer, a patient diagnosed with two or more neoplasms is not rare. We report on the case of a 58-year-old male with multiple primary malignant neoplasms, who suffered from three histological types of malignant neoplasm in six organs, namely the glottis, renal pelvis, urinary bladder, oral floor, prostate, and esophagus in chronological order. The first neoplasm was a squamous cell carcinoma of the glottis diagnosed in 2006. The second and third neoplasms were urothelial carcinomas of the right renal pelvis and urinary bladder, respectively, diagnosed in 2008. The remaining three neoplasms were diagnosed in 2010, namely a squamous cell carcinoma of the oral floor, an adenocarcinoma of the prostate, and a squamous cell carcinoma of the esophagus. The glottic cancer and esophageal cancer were treated by external radiation therapy. The malignant neoplasms of the oral floor and those which originated in the urinary tract were surgically resected. All neoplasms except the malignant neoplasm of the oral floor were well controlled. The patient died of cervical lymph node metastasis from the squamous cell carcinoma of the oral floor in January 2011. As far as we know, the present report is the first one on this combination of primary malignant neoplasms.",2014,/,World journal of surgical oncology,12,101170544,294,,https://dx.doi.org/10.1186/1477-7819-12-294,25245383,#2747,Mukaiyama 2014,,
Prostate cancer detection rate at second and third biopsy. Predictive factors and risk groups for cancer diagnosis.,"Castello-Porcar, Ana; Garcia-Morata, Francisco; Martinez-Jabaloyas, Jose Maria","OBJECTIVES: The diagnosis of prostate cancer is obtained with the performance of a prostate biopsy. Repetition of biopsies is required in patients with negative biopsies when there is high suspicion for cancer. The objective of this study is to know the prostate cancer detection rate in second and third prostatic biopsies and to identify the clinical factors with predictive value for positivity. We also want to establish risk groups for cancer diagnosis after one or two previous negative biopsies., METHODS: Retrospective study of patients undergoing a second or third prostatic biopsy. We determined the rate of cancer diagnosis for both. We performed univariate and multivariate analysis (multiple logistic regression) to analyse any relationship between clinical variables (PSA, PSA density, PSA F/T ratio, PSA velocity, digital rectal examination, transrectal ultrasonography, prostate volume, time between biopsies, pathological result and number of cores obtained in the first biopsy) and positivity in the second and third biopsies. Logistic regression analysis was performed to know which factors are predictors for positivity in 2nd and 3 th biopsies. According to the probabilities obtained, different risk groups were established., RESULTS: 4.532 patients underwent prostate biopsy between 1999 and 2010. 663 patients were included for second biopsy and 191 for third biopsy. Detection rates for prostate cancer were 24,3% and 17.8% respectively. According to the multivariate analysis, the probability for positivity on second biopsy increases when first biopsy was sextant (p=0,049), patients were >65 years old (p=0,005) and PSA density was >0,15 (p=0,000). Four risk groups were established with a range of probability for prostate cancer between 7 and 37%. For third biopsy, predictive variables were: suspicious digital rectal examination (p=0,007), age >64 years (p=0,009), and PSA density >0,20 (p=0,001). Also risk groups were established with probabilities between 1,6 and 61%., CONCLUSIONS: Detection rate for prostatic cancer in second and third biopsy is high. According to risk factors we can establish different risk groups.",2014,/,Archivos espanoles de urologia,67,7,605-14,,,25241833,#2748,Castello-Porcar 2014,,
Incidence of second malignancies in prostate cancer patients treated with low-dose-rate brachytherapy and radical prostatectomy.,"Hamilton, Sarah Nicole; Tyldesley, Scott; Hamm, Jeremy; Jiang, Wei Ning; Keyes, Mira; Pickles, Tom; Lapointe, Vince; Kahnamelli, Adam; McKenzie, Michael; Miller, Stacy; Morris, W James","PURPOSE: To compare the second malignancy incidence in prostate cancer patients treated with brachytherapy (BT) relative to radical prostatectomy (RP) and to compare both groups with the cancer incidence in the general population., METHODS AND MATERIALS: From 1998 to 2010, 2418 patients were treated with Iodine 125 prostate BT monotherapy at the British Columbia Cancer Agency, and 4015 referred patients were treated with RP. Cancer incidence was compared with the age-matched general population using standardized incidence ratios (SIRs). Pelvic malignancies included invasive and noninvasive bladder cancer and rectal cancer. Cox multivariable analysis was performed with adjustment for covariates to determine whether treatment (RP vs BT) was associated with second malignancy risk., RESULTS: The median age at BT was 66 years and at RP 62 years. The SIR comparing BT patients with the general population was 1.06 (95% confidence interval [CI] 0.91-1.22) for second malignancy and was 1.53 (95% CI 1.12-2.04) for pelvic malignancy. The SIR comparing RP patients with the general population was 1.11 (95% CI 0.98-1.25) for second malignancy and was 1.11 (95% CI 0.82-1.48) for pelvic malignancy. On multivariable analysis, older age (hazard ratio [HR] 1.05) and smoking (HR 1.65) were associated with increased second malignancy risk (P<.0001). Radical prostatectomy was not associated with a decreased second malignancy risk relative to BT (HR 0.90, P=.43), even when excluding patients who received postprostatectomy external beam radiation therapy (HR 1.13, P=.25). Older age (HR 1.09, P<.0001) and smoking (HR 2.17, P=.0009) were associated with increased pelvic malignancy risk. Radical prostatectomy was not associated with a decreased pelvic malignancy risk compared with BT (HR 0.57, P=.082), even when excluding postprostatectomy external beam radiation therapy patients (HR 0.87, P=.56)., CONCLUSIONS: After adjustment for covariates, BT patients did not have an increased second malignancy risk compared with RP patients. Further follow-up of this cohort is needed given the potential latency of radiation-induced malignancies. Copyright © 2014 Elsevier Inc. All rights reserved.",2014,/,"International journal of radiation oncology, biology, physics",90,4,934-41,,https://dx.doi.org/10.1016/j.ijrobp.2014.07.032,25240272,#2749,Hamilton 2014,,
The Improving Rural Cancer Outcomes (IRCO) Trial: a factorial cluster-randomised controlled trial of a complex intervention to reduce time to diagnosis in rural patients with cancer in Western Australia: a study protocol.,"Emery, Jon D; Gray, Victoria; Walter, Fiona M; Cheetham, Shelley; Croager, Emma J; Slevin, Terry; Saunders, Christobel; Threlfall, Tim; Auret, Kirsten; Nowak, Anna K; Geelhoed, Elizabeth; Bulsara, Max; Holman, C D'Arcy J","INTRODUCTION: While overall survival for most common cancers in Australia is improving, the rural-urban differential has been widening, with significant excess deaths due to lung, colorectal, breast and prostate cancer in regional Australia. Internationally a major focus on understanding variations in cancer outcomes has been later presentation to healthcare and later diagnosis. Approaches to reducing time to diagnosis of symptomatic cancer include public symptom awareness campaigns and interventions in primary care to improve early cancer detection. This paper reports the protocol of a factorial cluster-randomised trial of community and general practice (GP) level interventions to reduce the time to diagnosis of cancer in rural Western Australia (WA)., METHODS AND ANALYSIS: The community intervention is a symptom awareness campaign tailored for rural Australians delivered through a community engagement model. The GP intervention includes a resource card with symptom risk assessment charts and local referral pathways implemented through multiple academic detailing visits and case studies. Participants are eligible if recently diagnosed with breast, colorectal, lung or prostate cancer who reside in specific regions of rural WA with a planned sample size of 1350. The primary outcome is the Total Diagnostic Interval, defined as the duration from first symptom (or date of cancer screening test) to cancer diagnosis. Secondary outcomes include cancer stage, healthcare utilisation, disease-free status, survival at 2 and 5 years and cost-effectiveness., ETHICS AND DISSEMINATION: Ethics approval has been granted by the University of Western Australia and from all relevant hospital recruitment sites in WA., RESULTS: Results of this trial will be reported in peer-reviewed publications and in conference presentations., TRIAL REGISTRATION NUMBER: Australian New Zealand Clinical Trials Registry (ANZCTR). ACTRN12610000872033. Copyright Published by the BMJ Publishing Group Limited. For permission to use (where not already granted under a licence) please go to http://group.bmj.com/group/rights-licensing/permissions.",2014,/,BMJ open,4,9,e006156,,https://dx.doi.org/10.1136/bmjopen-2014-006156,25231496,#2750,Emery 2014,,
